,Unnamed: 0,Date,X_outlier,y_outlier
146,146,2019-01-07,13.2,0.0
147,147,2019-01-07,12.5,0.0
148,148,2019-01-07,13.3,0.0
149,149,2019-01-07,14.1,0.0
150,150,2019-01-07,17.7,0.0
151,151,2019-01-07,23.4,0.0
152,152,2019-01-07,30.8,0.0
153,153,2019-01-07,31.5,0.0
154,154,2019-01-07,31.8,0.0
155,155,2019-01-07,32.1,0.0
156,156,2019-01-07,31.6,0.0
157,157,2019-01-07,21.8,0.0
158,158,2019-01-07,18.5,0.0
159,159,2019-01-07,16.4,0.0
160,160,2019-01-07,17.4,0.0
161,161,2019-01-07,17.3,0.0
162,162,2019-01-07,18.1,0.0
163,163,2019-01-07,17.6,0.0
164,164,2019-01-07,17.5,0.0
165,165,2019-01-07,17.9,0.0
166,166,2019-01-07,16.1,0.0
167,167,2019-01-07,16.2,0.0
168,168,2019-01-08,15.0,0.0
169,169,2019-01-08,12.0,0.0
170,170,2019-01-08,8.4,0.0
171,171,2019-01-08,9.6,0.0
172,172,2019-01-08,12.7,0.0
173,173,2019-01-08,14.5,0.0
174,174,2019-01-08,15.6,0.0
175,175,2019-01-08,19.5,0.0
176,176,2019-01-08,32.3,0.0
177,177,2019-01-08,45.2,0.0
178,178,2019-01-08,43.8,0.0
179,179,2019-01-08,40.8,0.0
180,180,2019-01-08,37.6,0.0
181,181,2019-01-08,24.8,0.0
182,182,2019-01-08,20.3,0.0
183,183,2019-01-08,20.8,0.0
184,184,2019-01-08,17.7,0.0
185,185,2019-01-08,17.3,0.0
186,186,2019-01-08,16.6,0.0
187,187,2019-01-08,16.5,0.0
188,188,2019-01-08,18.8,0.0
189,189,2019-01-08,20.7,0.0
190,190,2019-01-08,17.0,0.0
191,191,2019-01-08,14.7,0.0
192,192,2019-01-09,13.9,0.0
193,193,2019-01-09,13.5,0.0
194,194,2019-01-09,14.2,0.0
195,195,2019-01-09,19.3,0.0
196,196,2019-01-09,25.5,0.0
197,197,2019-01-09,31.7,0.0
198,198,2019-01-09,44.9,0.0
199,199,2019-01-09,52.9,0.0
200,200,2019-01-09,50.5,0.0
201,201,2019-01-09,50.6,0.0
202,202,2019-01-09,41.4,0.0
203,203,2019-01-09,30.1,0.0
204,204,2019-01-09,23.7,0.0
205,205,2019-01-09,30.83921205568872,0.0
206,206,2019-01-09,25.87925693966981,0.0
207,207,2019-01-09,18.5,0.0
208,208,2019-01-09,20.0,0.0
209,209,2019-01-09,25.0,0.0
210,210,2019-01-09,23.3,0.0
211,211,2019-01-09,24.4,0.0
212,212,2019-01-09,27.1,0.0
213,213,2019-01-09,24.7,0.0
214,214,2019-01-09,20.5,0.0
215,215,2019-01-09,16.6,0.0
216,216,2019-01-10,14.8,0.0
217,217,2019-01-10,12.5,0.0
218,218,2019-01-10,9.7,0.0
219,219,2019-01-10,12.0,0.0
220,220,2019-01-10,13.6,0.0
221,221,2019-01-10,19.9,0.0
222,222,2019-01-10,182.1746222633626,1.0
223,223,2019-01-10,15.0,0.0
224,224,2019-01-10,13.3,0.0
225,225,2019-01-10,11.9,0.0
226,226,2019-01-10,10.0,0.0
227,227,2019-01-10,7.5,0.0
228,228,2019-01-10,4.6,0.0
229,229,2019-01-10,6.4,0.0
230,230,2019-01-10,9.2,0.0
231,231,2019-01-10,12.4,0.0
232,232,2019-01-10,14.9,0.0
233,233,2019-01-10,16.0,0.0
234,234,2019-01-10,19.6,0.0
